epoch,step,train_loss_epoch,train_loss_step,val_loss
37,75,,,16218.947265625
37,75,15384.7626953125,,
38,77,,,16209.5400390625
38,77,15376.08984375,,
39,79,,,16199.5830078125
39,79,15366.83203125,,
40,81,,,16189.0244140625
40,81,15357.119140625,,
41,83,,,16177.828125
41,83,15346.6513671875,,
42,85,,,16165.9443359375
42,85,15335.517578125,,
43,87,,,16153.263671875
43,87,15323.9287109375,,
44,89,,,16139.7275390625
44,89,15311.4580078125,,
45,91,,,16125.2646484375
45,91,15298.03515625,,
46,93,,,16109.7470703125
46,93,15283.96484375,,
47,95,,,16093.10546875
47,95,15268.5458984375,,
48,97,,,16075.1650390625
48,97,15252.291015625,,
49,99,,14385.572265625,
49,99,,,16055.8017578125
49,99,15234.7080078125,,
50,101,,,16034.8583984375
50,101,15215.5791015625,,
51,103,,,16012.142578125
51,103,15194.7998046875,,
52,105,,,15987.396484375
52,105,15172.341796875,,
53,107,,,15960.3447265625
53,107,15147.9912109375,,
54,109,,,15930.6875
54,109,15121.310546875,,
55,111,,,15898.056640625
55,111,15092.0107421875,,
56,113,,,15862.017578125
56,113,15059.7314453125,,
57,115,,,15822.05859375
57,115,15024.1845703125,,
58,117,,,15777.642578125
58,117,14984.1318359375,,
59,119,,,15728.0146484375
59,119,14940.0185546875,,
60,121,,,15672.251953125
60,121,14891.4853515625,,
61,123,,,15609.466796875
61,123,14836.5166015625,,
62,125,,,15538.513671875
62,125,14773.7490234375,,
63,127,,,15457.9189453125
63,127,14703.740234375,,
64,129,,,15366.111328125
64,129,14622.6962890625,,
65,131,,,15260.98828125
65,131,14531.494140625,,
66,133,,,15140.09765625
66,133,14427.7919921875,,
67,135,,,15000.763671875
67,135,14306.7958984375,,
68,137,,,14839.4169921875
68,137,14168.255859375,,
69,139,,,14651.9375
69,139,14008.4541015625,,
70,141,,,14433.4599609375
70,141,13819.994140625,,
71,143,,,14177.8349609375
71,143,13601.3603515625,,
72,145,,,13877.7021484375
72,145,13346.876953125,,
73,147,,,13524.4755859375
73,147,13046.8642578125,,
74,149,,12159.1123046875,
74,149,,,13107.642578125
74,149,12693.341796875,,
75,151,,,12615.1533203125
75,151,12269.8173828125,,
76,153,,,12032.7275390625
76,153,11768.8349609375,,
77,155,,,11344.23828125
77,155,11184.1669921875,,
78,157,,,10533.9970703125
78,157,10483.9267578125,,
79,159,,,9585.86328125
79,159,9661.9794921875,,
80,161,,,8488.8974609375
80,161,8702.4345703125,,
81,163,,,7242.61279296875
81,163,7621.96337890625,,
82,165,,,5868.54150390625
82,165,6366.63720703125,,
83,167,,,4422.40283203125
83,167,5015.26025390625,,
84,169,,,3018.445556640625
84,169,3643.295166015625,,
85,171,,,1850.2188720703125
85,171,2334.770751953125,,
86,173,,,1177.7496337890625
86,173,1377.5599365234375,,
87,175,,,1185.8568115234375
87,175,952.6317138671875,,
88,177,,,1575.9154052734375
88,177,1235.9114990234375,,
89,179,,,1692.8624267578125
89,179,1684.578125,,
90,181,,,1443.245849609375
90,181,1720.9825439453125,,
91,183,,,1132.1297607421875
91,183,1395.56591796875,,
92,185,,,968.2211303710938
92,185,1039.822021484375,,
93,187,,,964.0254516601562
93,187,841.2398071289062,,
94,189,,,1042.860107421875
94,189,817.6635131835938,,
95,191,,,1127.8760986328125
95,191,876.4080810546875,,
96,193,,,1165.9901123046875
96,193,925.0808715820312,,
97,195,,,1150.014892578125
97,195,944.7409057617188,,
98,197,,,1086.8614501953125
98,197,922.9910278320312,,
99,199,,978.4046020507812,
99,199,,,1007.540283203125
99,199,864.3467407226562,,
100,201,,,928.4940795898438
100,201,803.4529418945312,,
101,203,,,866.8204345703125
101,203,757.099853515625,,
102,205,,,830.906494140625
102,205,723.7310180664062,,
103,207,,,814.0311889648438
103,207,716.2261962890625,,
104,209,,,805.7308959960938
104,209,719.0035400390625,,
105,211,,,796.8015747070312
105,211,720.8677368164062,,
106,213,,,784.836181640625
106,213,712.7435913085938,,
107,215,,,772.2285766601562
107,215,697.2125244140625,,
108,217,,,763.2440795898438
108,217,676.2738037109375,,
109,219,,,758.9163208007812
109,219,658.0294189453125,,
110,221,,,757.7155151367188
110,221,645.7453002929688,,
111,223,,,755.4025268554688
111,223,636.0535278320312,,
112,225,,,750.1044311523438
112,225,627.7620849609375,,
113,227,,,740.7867431640625
113,227,620.1136474609375,,
114,229,,,726.7362060546875
114,229,610.8267211914062,,
115,231,,,711.9186401367188
115,231,596.6817626953125,,
116,233,,,696.4603881835938
116,233,582.6558227539062,,
117,235,,,681.5810546875
117,235,564.3704223632812,,
118,237,,,667.7244873046875
118,237,544.1116943359375,,
119,239,,,656.084716796875
119,239,537.1128540039062,,
120,241,,,645.3832397460938
120,241,527.047607421875,,
121,243,,,636.5607299804688
121,243,515.98974609375,,
122,245,,,628.0565795898438
122,245,505.1976623535156,,
123,247,,,620.653076171875
123,247,493.2599792480469,,
124,249,,528.6932373046875,
124,249,,,615.5638427734375
124,249,482.84222412109375,,
125,251,,,607.6155395507812
125,251,471.52435302734375,,
126,253,,,597.0963745117188
126,253,461.0774230957031,,
127,255,,,586.3164672851562
127,255,450.74029541015625,,
128,257,,,575.9449462890625
128,257,441.4245300292969,,
129,259,,,565.8208618164062
129,259,432.01715087890625,,
130,261,,,554.601318359375
130,261,422.44586181640625,,
131,263,,,542.2836303710938
131,263,412.7611389160156,,
132,265,,,529.77001953125
132,265,400.6325378417969,,
133,267,,,515.7181396484375
133,267,388.9176330566406,,
134,269,,,502.04644775390625
134,269,375.97857666015625,,
135,271,,,488.7821350097656
135,271,364.7718505859375,,
136,273,,,476.6669616699219
136,273,349.8504943847656,,
137,275,,,464.4460754394531
137,275,336.0608825683594,,
138,277,,,452.99755859375
138,277,322.8990478515625,,
139,279,,,441.3903503417969
139,279,314.0270080566406,,
140,281,,,430.1027526855469
140,281,304.8676452636719,,
141,283,,,418.9170837402344
141,283,298.1202697753906,,
142,285,,,408.32598876953125
142,285,291.0027160644531,,
143,287,,,397.10308837890625
143,287,286.91436767578125,,
144,289,,,387.4678649902344
144,289,280.7924499511719,,
145,291,,,377.8057556152344
145,291,275.8643798828125,,
146,293,,,371.14373779296875
146,293,270.1518249511719,,
147,295,,,363.98321533203125
147,295,263.97979736328125,,
148,297,,,359.2229309082031
148,297,258.15692138671875,,
149,299,,243.38038635253906,
149,299,,,353.5911865234375
149,299,252.40567016601562,,
