channel,month,month_num,tickets_total,tickets_auto,automation_rate,latency_ms,satisfaction,cost_per_ticket,quarter,health,bot_savings,bot_roi
Phone,Sep,9,2222,510,0.23,14002,3.83,4.39,Q3,At-risk,1.1960000000000002,0.27243735763097954
Phone,Oct,10,2347,559,0.238,12728,3.87,4.26,Q4,At-risk,1.2376,0.29051643192488263
Phone,Nov,11,2338,584,0.25,12039,3.82,4.07,Q4,At-risk,1.3,0.3194103194103194
Phone,Dec,12,2430,657,0.271,12249,3.89,4.12,Q4,At-risk,1.4092000000000002,0.34203883495145637
Web Form,Jan,1,3321,2223,0.67,5876,4.06,2.06,Q1,Improving,3.4840000000000004,1.6912621359223303
Web Form,Feb,2,3351,2305,0.688,5565,3.95,2.09,Q1,Improving,3.5776,1.7117703349282298
Web Form,Mar,3,3348,2363,0.706,5743,4.1,1.72,Q1,Healthy,3.6712,2.1344186046511626
Web Form,Apr,4,3462,2359,0.682,5669,4.01,1.94,Q2,Improving,3.5464,1.8280412371134023
Web Form,May,5,3571,2553,0.715,5737,4.06,1.58,Q2,Improving,3.718,2.353164556962025
Web Form,Jun,6,3381,2448,0.724,5296,3.99,1.7,Q2,Improving,3.7648,2.214588235294118
Web Form,Jul,7,3366,2537,0.754,5576,4.02,1.55,Q3,Improving,3.9208000000000003,2.5295483870967743
Web Form,Aug,8,3584,2759,0.77,5863,4.04,1.43,Q3,Improving,4.0040000000000004,2.8000000000000003
Web Form,Sep,9,3588,2750,0.767,5471,3.99,1.52,Q3,Improving,3.9884000000000004,2.623947368421053
Web Form,Oct,10,3846,3032,0.788,5854,4.01,1.37,Q4,Improving,4.0976,2.9909489051094886
Web Form,Nov,11,3571,2778,0.778,5363,4.11,1.38,Q4,Healthy,4.0456,2.9315942028985513
Web Form,Dec,12,3450,2777,0.805,5165,4.01,1.26,Q4,Improving,4.186000000000001,3.322222222222223
Social,Jan,1,1396,470,0.337,2189,3.87,3.96,Q1,At-risk,1.7524000000000002,0.4425252525252526
Social,Feb,2,1367,493,0.361,2588,4.1,3.51,Q1,At-risk,1.8772,0.5348148148148149
Social,Mar,3,1442,583,0.404,2544,3.92,3.37,Q1,At-risk,2.1008,0.6233827893175073
Social,Apr,4,1460,659,0.452,2270,3.98,3.01,Q2,At-risk,2.3504,0.7808637873754154
Social,May,5,1444,673,0.466,2311,3.97,3.12,Q2,At-risk,2.4232,0.7766666666666666
Social,Jun,6,1476,760,0.515,2295,4.02,2.82,Q2,Improving,2.6780000000000004,0.9496453900709222
Social,Jul,7,1497,777,0.519,2216,4.12,2.96,Q3,Improving,2.6988000000000003,0.9117567567567568
Social,Aug,8,1465,828,0.566,2076,4.1,2.58,Q3,Improving,2.9432,1.1407751937984496
Social,Sep,9,1438,858,0.597,2270,4.07,2.28,Q3,Improving,3.1044,1.3615789473684212
Social,Oct,10,1537,942,0.613,2146,4.04,2.3,Q4,Improving,3.1876,1.3859130434782612
Social,Nov,11,1546,999,0.646,2267,3.94,2.12,Q4,Improving,3.3592000000000004,1.5845283018867926
Social,Dec,12,1566,1069,0.683,2044,4.0,1.98,Q4,Improving,3.5516000000000005,1.793737373737374
