epoch,step,train_loss_epoch,train_loss_step,val_loss
61,123,,,2021.9476318359375
61,123,2063.317626953125,,
62,125,,,1922.82861328125
62,125,1961.5091552734375,,
63,127,,,1827.7623291015625
63,127,1873.6781005859375,,
64,129,,,1736.67431640625
64,129,1771.1055908203125,,
65,131,,,1649.6484375
65,131,1677.60986328125,,
66,133,,,1566.2952880859375
66,133,1613.376708984375,,
67,135,,,1486.6744384765625
67,135,1537.6580810546875,,
68,137,,,1410.3541259765625
68,137,1471.772705078125,,
69,139,,,1337.507080078125
69,139,1378.0128173828125,,
70,141,,,1267.7874755859375
70,141,1311.32080078125,,
71,143,,,1201.1192626953125
71,143,1251.254150390625,,
72,145,,,1137.49658203125
72,145,1191.01171875,,
73,147,,,1076.5595703125
73,147,1115.0892333984375,,
74,149,,1019.3762817382812,
74,149,,,1018.4130249023438
74,149,1060.9466552734375,,
75,151,,,962.937744140625
75,151,1004.669677734375,,
76,153,,,909.7543334960938
76,153,964.5231323242188,,
77,155,,,858.9566650390625
77,155,898.3271484375,,
78,157,,,810.4614868164062
78,157,860.7989501953125,,
79,159,,,764.1973876953125
79,159,799.771240234375,,
80,161,,,719.9871215820312
80,161,760.6261596679688,,
81,163,,,677.7218627929688
81,163,722.7355346679688,,
82,165,,,637.4725341796875
82,165,683.3468627929688,,
83,167,,,598.9049682617188
83,167,638.2057495117188,,
84,169,,,562.2228393554688
84,169,599.236328125,,
85,171,,,527.2568359375
85,171,568.541259765625,,
86,173,,,493.9990234375
86,173,540.495361328125,,
87,175,,,462.3470764160156
87,175,504.2982482910156,,
88,177,,,432.2416687011719
88,177,472.7069396972656,,
89,179,,,403.7331237792969
89,179,441.25738525390625,,
90,181,,,376.8456115722656
90,181,415.7101745605469,,
91,183,,,351.4657897949219
91,183,394.9730529785156,,
92,185,,,327.4500427246094
92,185,368.48126220703125,,
93,187,,,304.9011535644531
93,187,332.70611572265625,,
94,189,,,283.78228759765625
94,189,317.8822326660156,,
95,191,,,264.06243896484375
95,191,293.12725830078125,,
96,193,,,245.6909637451172
96,193,276.1167297363281,,
97,195,,,228.5758819580078
97,195,246.1759796142578,,
98,197,,,212.6437225341797
98,197,247.6147918701172,,
99,199,,224.37960815429688,
99,199,,,197.84925842285156
99,199,222.78480529785156,,
100,201,,,184.15684509277344
100,201,206.85812377929688,,
101,203,,,171.46507263183594
101,203,191.67855834960938,,
102,205,,,159.79019165039062
102,205,174.35902404785156,,
103,207,,,149.0248260498047
103,207,168.6590118408203,,
104,209,,,139.10423278808594
104,209,155.98304748535156,,
105,211,,,129.97190856933594
105,211,147.13763427734375,,
106,213,,,121.5787582397461
106,213,136.71142578125,,
107,215,,,113.86958312988281
107,215,125.89439392089844,,
108,217,,,106.7719955444336
108,217,122.82511138916016,,
109,219,,,100.23362731933594
109,219,111.36124420166016,,
110,221,,,94.2464828491211
110,221,104.48599243164062,,
111,223,,,88.73213195800781
111,223,101.17459106445312,,
112,225,,,83.67426300048828
112,225,89.79737091064453,,
113,227,,,79.02970123291016
113,227,89.00177764892578,,
114,229,,,74.74785614013672
114,229,82.08943939208984,,
115,231,,,70.79542541503906
115,231,79.797607421875,,
116,233,,,67.1622085571289
116,233,72.76637268066406,,
117,235,,,63.81196975708008
117,235,71.39210510253906,,
118,237,,,60.71976852416992
118,237,65.14493560791016,,
119,239,,,57.872047424316406
119,239,60.76918029785156,,
120,241,,,55.248390197753906
120,241,58.21150588989258,,
121,243,,,52.80448532104492
121,243,58.8139533996582,,
122,245,,,50.53905487060547
122,245,53.59238815307617,,
123,247,,,48.43598556518555
123,247,52.388450622558594,,
124,249,,49.47085952758789,
124,249,,,46.48299789428711
124,249,50.26057434082031,,
125,251,,,44.664207458496094
125,251,48.25981521606445,,
126,253,,,42.96357345581055
126,253,47.408016204833984,,
127,255,,,41.379329681396484
127,255,43.11463928222656,,
128,257,,,39.9036979675293
128,257,40.50349426269531,,
129,259,,,38.52979278564453
129,259,38.69774627685547,,
130,261,,,37.23741912841797
130,261,39.290138244628906,,
131,263,,,36.03190231323242
131,263,34.95479202270508,,
132,265,,,34.9015998840332
132,265,35.24028778076172,,
133,267,,,33.839576721191406
133,267,33.70820617675781,,
134,269,,,32.84132766723633
134,269,31.50686264038086,,
135,271,,,31.90167236328125
135,271,32.49694061279297,,
136,273,,,31.01239776611328
136,273,31.475780487060547,,
137,275,,,30.176145553588867
137,275,29.8096923828125,,
138,277,,,29.385223388671875
138,277,29.096635818481445,,
139,279,,,28.643362045288086
139,279,26.217191696166992,,
140,281,,,27.943119049072266
140,281,26.03404426574707,,
141,283,,,27.27850341796875
141,283,26.141212463378906,,
142,285,,,26.65087890625
142,285,23.781293869018555,,
143,287,,,26.05108070373535
143,287,25.434419631958008,,
144,289,,,25.479021072387695
144,289,25.215381622314453,,
145,291,,,24.930418014526367
145,291,23.821584701538086,,
146,293,,,24.41023826599121
146,293,21.973737716674805,,
147,295,,,23.913923263549805
147,295,23.292097091674805,,
148,297,,,23.440120697021484
148,297,21.351408004760742,,
149,299,,20.636478424072266,
149,299,,,22.98983383178711
149,299,20.9881649017334,,
